Date,Price,Open,High,Low,Change %
"Oct 30, 2013",61.26,61.365,61.615,61.075,-0.28
"Oct 29, 2013",61.43,61.52,61.735,61.306,-0.02
"Oct 28, 2013",61.445,61.41,61.605,61.365,-0.03
"Oct 25, 2013",61.465,61.45,61.805,61.355,-0.01
"Oct 24, 2013",61.47,61.585,61.695,61.299,-0.26
"Oct 23, 2013",61.63,61.645,61.727,61.07,-0.04
"Oct 22, 2013",61.655,61.615,61.845,61.52,0.12
"Oct 21, 2013",61.58,61.34,61.595,61.33,0.56
"Oct 18, 2013",61.24,61.19,61.72,60.93,0.16
"Oct 17, 2013",61.14,61.55,61.74,61.13,-0.96
"Oct 16, 2013",61.735,61.75,61.765,61.72,-0.17
"Oct 15, 2013",61.84,61.27,61.95,61.27,0.46
